	IndexID	FullID	Brain.code	Region	Period	Hemisphere	RIN	MonthsAge	Age	Age.1	Dissection.score	Exon.Array.CEL.files	Age.range	Description	Region.Area	mirVana.tRNA.prepped	mirVana.RIN	mirVana.rRNA.ratio	mirVana.conc..ng.ul.	good.to.go.	small.RNA.library.prepped	RNA.seq.as.of.June.2011	Exon.Array.as.of.June.2011
HSB148.DFC	56	HSB148.DFC	HSB148	DFC	2	L	10	2.25	9	9PCW	5	148.DFC.L.CEL	8_ Age <10 PCW	Early fetal	FC (DFC)			NA	NA		NA	Done	Done
HSB148.MFC	57	HSB148.MFC	HSB148	MFC	2	L	10	2.25	9	9PCW	5	148.MFC.L.CEL	8_ Age <10 PCW	Early fetal	FC (MFC)			NA	NA		NA	Done	Done
HSB148.OFC	58	HSB148.OFC	HSB148	OFC	2	L	10	2.25	9	9PCW	5	148.OFC.L.CEL	8_ Age <10 PCW	Early fetal	FC (OFC)			NA	NA		NA	Done	Done
HSB148.M1CS1C	59	HSB148.M1CS1C	HSB148	M1CS1C	2	L	10	2.25	9	9PCW	5	148.M1C/S1C.L.CEL	8_ Age <10 PCW	Early fetal	FC-PC (M1C/S1C)			NA	NA		NA	Done	Done
HSB148.PC	60	HSB148.PC	HSB148	PC	2	L	9.6	2.25	9	9PCW	5	148.PC.L.CEL	8_ Age <10 PCW	Early fetal	PC (IPC)			NA	NA		NA	Done	Done
HSB148.TC	61	HSB148.TC	HSB148	TC	2	L	9.5	2.25	9	9PCW	5	148.TC.L.CEL	8_ Age <10 PCW	Early fetal	TC (A1C/STC)			NA	NA		NA	Done	Done
HSB148.OC	62	HSB148.OC	HSB148	OC	2	L	9.4	2.25	9	9PCW	5	148.OC.L.CEL	8_ Age <10 PCW	Early fetal	OC (V1C)			NA	NA		NA	Done	Done
HSB148.HIP	63	HSB148.HIP	HSB148	HIP	2	L	9.5	2.25	9	9PCW	5	148.HIP.L.CEL	8_ Age <10 PCW	Early fetal	HIP			NA	NA		NA	Done	Done
HSB148.AMY	64	HSB148.AMY	HSB148	AMY	2	L	9.5	2.25	9	9PCW	4	148.AMY.L.CEL	8_ Age <10 PCW	Early fetal	AMY			NA	NA		NA	Done	Done
HSB148.CGE	65	HSB148.CGE	HSB148	CGE	2	L	9.8	2.25	9	9PCW	4	148.CGE.L.CEL	8_ Age <10 PCW	Early fetal	CGE			NA	NA		NA	Done	Done
HSB148.LGE	66	HSB148.LGE	HSB148	LGE	2	L	10	2.25	9	9PCW	5	148.LGE.L.CEL	8_ Age <10 PCW	Early fetal	LGE			NA	NA		NA	Done	Done
HSB148.MGE	67	HSB148.MGE	HSB148	MGE	2	L	10	2.25	9	9PCW	5	148.MGE.L.CEL	8_ Age <10 PCW	Early fetal	MGE			NA	NA		NA	Done	Done
HSB148.DTH	68	HSB148.DTH	HSB148	DTH	2	L	9.7	2.25	9	9PCW	5	148.DTH.L.CEL	8_ Age <10 PCW	Early fetal	DTH			NA	NA		NA	Done	Done
HSB148.URL	69	HSB148.URL	HSB148	URL	2	L	9.5	2.25	9	9PCW	5	148.URL.L.CEL	8_ Age <10 PCW	Early fetal	URL			NA	NA		NA	Done	Done
HSB153.DFC	99	HSB153.DFC	HSB153	DFC	3	R	10	3	12	12PCW	5	153.DFC.R.CEL	10_ Age <13 PCW	Early fetal	DFC			NA	NA		NA	Done	Done
HSB153.VFC	100	HSB153.VFC	HSB153	VFC	3	R	10	3	12	12PCW	5	153.VFC.R.CEL	10_ Age <13 PCW	Early fetal	VFC			NA	NA		NA	Done	Done
HSB153.MFC	101	HSB153.MFC	HSB153	MFC	3	R	10	3	12	12PCW	5	153.MFC.R.CEL	10_ Age <13 PCW	Early fetal	MFC			NA	NA		NA	Done	Done
HSB153.OFC	102	HSB153.OFC	HSB153	OFC	3	R	9.6	3	12	12PCW	5	153.OFC.R.CEL	10_ Age <13 PCW	Early fetal	OFC			NA	NA		NA	Done	Done
HSB153.M1C	103	HSB153.M1C	HSB153	M1C	3	R	10	3	12	12PCW	5	153.M1C.R.CEL	10_ Age <13 PCW	Early fetal	M1C			NA	NA		NA	Done	Done
HSB153.S1C	104	HSB153.S1C	HSB153	S1C	3	R	10	3	12	12PCW	5	153.S1C.R.CEL	10_ Age <13 PCW	Early fetal	S1C			NA	NA		NA	Done	Done
HSB153.IPC	105	HSB153.IPC	HSB153	IPC	3	R	10	3	12	12PCW	5	153.IPC.R.CEL	10_ Age <13 PCW	Early fetal	IPC			NA	NA		NA	Done	Done
HSB153.A1C	106	HSB153.A1C	HSB153	A1C	3	R	9.9	3	12	12PCW	5	153.A1C.R.CEL	10_ Age <13 PCW	Early fetal	A1C			NA	NA		NA	Done	Done
HSB153.STC	107	HSB153.STC	HSB153	STC	3	R	9.8	3	12	12PCW	5	153.STC.R.CEL	10_ Age <13 PCW	Early fetal	STC			NA	NA		NA	Done	Done
HSB153.ITC	108	HSB153.ITC	HSB153	ITC	3	R	9.9	3	12	12PCW	4	153.ITC.R.CEL	10_ Age <13 PCW	Early fetal	ITC			NA	NA		NA	Done	Done
HSB153.V1C	109	HSB153.V1C	HSB153	V1C	3	R	10	3	12	12PCW	5	153.V1C.R.CEL	10_ Age <13 PCW	Early fetal	V1C			NA	NA		NA	Done	Done
HSB153.HIP	110	HSB153.HIP	HSB153	HIP	3	R	9	3	12	12PCW	5	153.HIP.R.CEL	10_ Age <13 PCW	Early fetal	HIP			NA	NA		NA	Done	Done
HSB153.AMY	111	HSB153.AMY	HSB153	AMY	3	R	9.3	3	12	12PCW	5	153.AMY.R.CEL	10_ Age <13 PCW	Early fetal	AMY			NA	NA		NA	Done	Done
HSB153.STR	112	HSB153.STR	HSB153	STR	3	R	9.7	3	12	12PCW	5	153.STR.R.CEL	10_ Age <13 PCW	Early fetal	STR			NA	NA		NA	Done	Done
HSB153.MD	113	HSB153.MD	HSB153	MD	3	R	9.7	3	12	12PCW	5	153.MD.R.CEL	10_ Age <13 PCW	Early fetal	MD			NA	NA		NA	Done	Done
HSB150.DFC	130	HSB150.DFC	HSB150	DFC	3	R	9.6	3	12	12PCW	5	150.DFC.R.CEL	10_ Age <13 PCW	Early fetal	DFC			NA	NA		NA	Done	Done
HSB150.VFC	131	HSB150.VFC	HSB150	VFC	3	R	9.4	3	12	12PCW	5	150.VFC.R.CEL	10_ Age <13 PCW	Early fetal	VFC			NA	NA		NA	Done	Done
HSB150.MFC	132	HSB150.MFC	HSB150	MFC	3	R	9.4	3	12	12PCW	5	150.MFC.R.CEL	10_ Age <13 PCW	Early fetal	MFC			NA	NA		NA	Done	Done
HSB150.OFC	133	HSB150.OFC	HSB150	OFC	3	R	9.3	3	12	12PCW	5	150.OFC.R.CEL	10_ Age <13 PCW	Early fetal	OFC			NA	NA		NA	Done	Done
HSB150.M1C	134	HSB150.M1C	HSB150	M1C	3	R	9.7	3	12	12PCW	5	150.M1C.R.CEL	10_ Age <13 PCW	Early fetal	M1C			NA	NA		NA	Done	Done
HSB150.S1C	135	HSB150.S1C	HSB150	S1C	3	R	9.4	3	12	12PCW	5	150.S1C.R.CEL	10_ Age <13 PCW	Early fetal	S1C			NA	NA		NA	Done	Done
HSB150.IPC	136	HSB150.IPC	HSB150	IPC	3	R	9.4	3	12	12PCW	5	150.IPC.R.CEL	10_ Age <13 PCW	Early fetal	IPC			NA	NA		NA	Done	Done
HSB150.A1C	137	HSB150.A1C	HSB150	A1C	3	R	9.6	3	12	12PCW	5	150.A1C.R.CEL	10_ Age <13 PCW	Early fetal	A1C			NA	NA		NA	Done	Done
HSB150.STC	138	HSB150.STC	HSB150	STC	3	R	9.5	3	12	12PCW	5	150.STC.R.CEL	10_ Age <13 PCW	Early fetal	STC			NA	NA		NA	Done	Done
HSB150.ITC	139	HSB150.ITC	HSB150	ITC	3	R	9.6	3	12	12PCW	5	150.ITC.R.CEL	10_ Age <13 PCW	Early fetal	ITC			NA	NA		NA	Done	Done
HSB150.V1C	140	HSB150.V1C	HSB150	V1C	3	R	9.7	3	12	12PCW	5	150.V1C.R.CEL	10_ Age <13 PCW	Early fetal	V1C			NA	NA		NA	Done	Done
HSB150.HIP	141	HSB150.HIP	HSB150	HIP	3	R	9.3	3	12	12PCW	5	150.HIP.R.CEL	10_ Age <13 PCW	Early fetal	HIP			NA	NA		NA	Done	Done
HSB150.AMY	142	HSB150.AMY	HSB150	AMY	3	R	8.9	3	12	12PCW	4	150.AMY.R.CEL	10_ Age <13 PCW	Early fetal	AMY			NA	NA		NA	Done	Done
HSB150.STR	143	HSB150.STR	HSB150	STR	3	R	9.6	3	12	12PCW	5	150.STR.R.CEL	10_ Age <13 PCW	Early fetal	STR			NA	NA		NA	Done	Done
HSB150.MD	144	HSB150.MD	HSB150	MD	3	R	9.3	3	12	12PCW	5	150.MD.R.CEL	10_ Age <13 PCW	Early fetal	MD			NA	NA		NA	Done	Done
HSB150.CBC	145	HSB150.CBC	HSB150	CBC	3	R	9.9	3	12	12PCW	5	150.CBC.R.CEL	10_ Age <13 PCW	Early fetal	CBC			NA	NA		NA	Done	Done
HSB113.DFC	146	HSB113.DFC	HSB113	DFC	3	L	9.3	3	12	12PCW	5	113.DFC.L.CEL	10_ Age <13 PCW	Early fetal	DFC			NA	NA		NA	Done	Done
HSB113.VFC	147	HSB113.VFC	HSB113	VFC	3	L	9.4	3	12	12PCW	5	113.VFC.L.CEL	10_ Age <13 PCW	Early fetal	VFC			NA	NA		NA	Done	Done
HSB113.MFC	148	HSB113.MFC	HSB113	MFC	3	L	9.8	3	12	12PCW	5	113.MFC.L.CEL	10_ Age <13 PCW	Early fetal	MFC			NA	NA		NA	Done	Done
HSB113.OFC	149	HSB113.OFC	HSB113	OFC	3	L	9.4	3	12	12PCW	5	113.OFC.L.CEL	10_ Age <13 PCW	Early fetal	OFC			NA	NA		NA	Done	Done
HSB113.M1C	150	HSB113.M1C	HSB113	M1C	3	L	9.4	3	12	12PCW	4	113.M1C.L.CEL	10_ Age <13 PCW	Early fetal	M1C			NA	NA		NA	Done	Done
HSB113.S1C	151	HSB113.S1C	HSB113	S1C	3	L	9.5	3	12	12PCW	5	113.S1C.L.CEL	10_ Age <13 PCW	Early fetal	S1C			NA	NA		NA	Done	Done
HSB113.IPC	152	HSB113.IPC	HSB113	IPC	3	L	9.4	3	12	12PCW	5	113.IPC.L.CEL	10_ Age <13 PCW	Early fetal	IPC			NA	NA		NA	Done	Done
HSB113.A1C	153	HSB113.A1C	HSB113	A1C	3	L	9.5	3	12	12PCW	5	113.A1C.L.CEL	10_ Age <13 PCW	Early fetal	A1C			NA	NA		NA	Done	Done
HSB113.ITC	155	HSB113.ITC	HSB113	ITC	3	L	9.4	3	12	12PCW	4	113.ITC.L.CEL	10_ Age <13 PCW	Early fetal	ITC			NA	NA		NA	Done	Done
HSB113.V1C	156	HSB113.V1C	HSB113	V1C	3	L	9.8	3	12	12PCW	5	113.V1C.L.CEL	10_ Age <13 PCW	Early fetal	V1C			NA	NA		NA	Done	Done
HSB113.HIP	157	HSB113.HIP	HSB113	HIP	3	L	8.8	3	12	12PCW	5	113.HIP.L.CEL	10_ Age <13 PCW	Early fetal	HIP			NA	NA		NA	Done	Done
HSB113.AMY	158	HSB113.AMY	HSB113	AMY	3	L	9.4	3	12	12PCW	5	113.AMY.L.CEL	10_ Age <13 PCW	Early fetal	AMY			NA	NA		NA	Done	Done
HSB113.STR	159	HSB113.STR	HSB113	STR	3	L	9.6	3	12	12PCW	5	113.STR.L.CEL	10_ Age <13 PCW	Early fetal	STR			NA	NA		NA	Done	Done
HSB113.MD	160	HSB113.MD	HSB113	MD	3	L	9.4	3	12	12PCW	5	113.MD.L.CEL	10_ Age <13 PCW	Early fetal	MD			NA	NA		NA	Done	Done
HSB113.CBC	161	HSB113.CBC	HSB113	CBC	3	L	9.7	3	12	12PCW	5	113.CBC.L.CEL	10_ Age <13 PCW	Early fetal	CBC			NA	NA		NA	Done	Done
HSB103.DFC	193	HSB103.DFC	HSB103	DFC	4	R	9.8	3.25	13	13PCW	5	103.DFC.R.CEL	13_ Age <16 PCW	Early mid-fetal	DFC			NA	NA		NA	Done	Done
HSB103.VFC	194	HSB103.VFC	HSB103	VFC	4	R	9.4	3.25	13	13PCW	5	103.VFC.R.CEL	13_ Age <16 PCW	Early mid-fetal	VFC			NA	NA		NA	Done	Done
HSB103.MFC	195	HSB103.MFC	HSB103	MFC	4	R	9.9	3.25	13	13PCW	5	103.MFC.R.CEL	13_ Age <16 PCW	Early mid-fetal	MFC			NA	NA		NA	Done	Done
HSB103.OFC	196	HSB103.OFC	HSB103	OFC	4	R	9.3	3.25	13	13PCW	5	103.OFC.R.CEL	13_ Age <16 PCW	Early mid-fetal	OFC			NA	NA		NA	Done	Done
HSB103.M1C	197	HSB103.M1C	HSB103	M1C	4	R	10	3.25	13	13PCW	4	103.M1C.R.CEL	13_ Age <16 PCW	Early mid-fetal	M1C			NA	NA		NA	Done	Done
HSB103.S1C	198	HSB103.S1C	HSB103	S1C	4	R	10	3.25	13	13PCW	4	103.S1C.R.CEL	13_ Age <16 PCW	Early mid-fetal	S1C			NA	NA		NA	Done	Done
HSB103.IPC	199	HSB103.IPC	HSB103	IPC	4	R	10	3.25	13	13PCW	4	103.IPC.R.CEL	13_ Age <16 PCW	Early mid-fetal	IPC			NA	NA		NA	Done	Done
HSB103.A1C	200	HSB103.A1C	HSB103	A1C	4	R	9.7	3.25	13	13PCW	4	103.A1C.R.CEL	13_ Age <16 PCW	Early mid-fetal	A1C			NA	NA		NA	Done	Done
HSB103.STC	201	HSB103.STC	HSB103	STC	4	R	9.7	3.25	13	13PCW	4	103.STC.R.CEL	13_ Age <16 PCW	Early mid-fetal	STC			NA	NA		NA	Done	Done
HSB103.ITC	202	HSB103.ITC	HSB103	ITC	4	R	9.5	3.25	13	13PCW	5	103.ITC.R.CEL	13_ Age <16 PCW	Early mid-fetal	ITC			NA	NA		NA	Done	Done
HSB103.V1C	203	HSB103.V1C	HSB103	V1C	4	R	9.9	3.25	13	13PCW	5	103.V1C.R.CEL	13_ Age <16 PCW	Early mid-fetal	V1C			NA	NA		NA	Done	Done
HSB103.HIP	204	HSB103.HIP	HSB103	HIP	4	R	10	3.25	13	13PCW	5	103.HIP.R.CEL	13_ Age <16 PCW	Early mid-fetal	HIP			NA	NA		NA	Done	Done
HSB103.AMY	205	HSB103.AMY	HSB103	AMY	4	R	10	3.25	13	13PCW	4	103.AMY.R.CEL	13_ Age <16 PCW	Early mid-fetal	AMY			NA	NA		NA	Done	Done
HSB103.STR	206	HSB103.STR	HSB103	STR	4	R	9.6	3.25	13	13PCW	5	103.STR.R.CEL	13_ Age <16 PCW	Early mid-fetal	STR			NA	NA		NA	Done	Done
HSB103.CBC	207	HSB103.CBC	HSB103	CBC	4	R	10	3.25	13	13PCW	5	103.CBC.R.CEL	13_ Age <16 PCW	Early mid-fetal	CBC			NA	NA		NA	Done	Done
HSB149.DFC	208	HSB149.DFC	HSB149	DFC	4	L	9.7	3.25	13	13PCW	5	149.DFC.L.CEL	13_ Age <16 PCW	Early mid-fetal	DFC			NA	NA		NA	Done	Done
HSB149.VFC	209	HSB149.VFC	HSB149	VFC	4	L	9.3	3.25	13	13PCW	5	149.VFC.L.CEL	13_ Age <16 PCW	Early mid-fetal	VFC			NA	NA		NA	Done	Done
HSB149.MFC	210	HSB149.MFC	HSB149	MFC	4	L	10	3.25	13	13PCW	5	149.MFC.L.CEL	13_ Age <16 PCW	Early mid-fetal	MFC			NA	NA		NA	Done	Done
HSB149.OFC	211	HSB149.OFC	HSB149	OFC	4	L	10	3.25	13	13PCW	5	149.OFC.L.CEL	13_ Age <16 PCW	Early mid-fetal	OFC			NA	NA		NA	Done	Done
HSB149.M1C	212	HSB149.M1C	HSB149	M1C	4	L	10	3.25	13	13PCW	4	149.M1C.L.CEL	13_ Age <16 PCW	Early mid-fetal	M1C			NA	NA		NA	Done	Done
HSB149.S1C	213	HSB149.S1C	HSB149	S1C	4	L	9.9	3.25	13	13PCW	4	149.S1C.L.CEL	13_ Age <16 PCW	Early mid-fetal	S1C			NA	NA		NA	Done	Done
HSB149.IPC	214	HSB149.IPC	HSB149	IPC	4	L	9.7	3.25	13	13PCW	5	149.IPC.L.CEL	13_ Age <16 PCW	Early mid-fetal	IPC			NA	NA		NA	Done	Done
HSB149.A1C	215	HSB149.A1C	HSB149	A1C	4	L	9.4	3.25	13	13PCW	4	149.A1C.L.CEL	13_ Age <16 PCW	Early mid-fetal	A1C			NA	NA		NA	Done	Done
HSB149.STC	216	HSB149.STC	HSB149	STC	4	L	9	3.25	13	13PCW	4	149.STC.L.CEL	13_ Age <16 PCW	Early mid-fetal	STC			NA	NA		NA	Done	Done
HSB149.ITC	217	HSB149.ITC	HSB149	ITC	4	L	9.5	3.25	13	13PCW	5	149.ITC.L.CEL	13_ Age <16 PCW	Early mid-fetal	ITC			NA	NA		NA	Done	Done
HSB149.V1C	218	HSB149.V1C	HSB149	V1C	4	L	9.8	3.25	13	13PCW	5	149.V1C.L.CEL	13_ Age <16 PCW	Early mid-fetal	V1C			NA	NA		NA	Done	Done
HSB149.HIP	219	HSB149.HIP	HSB149	HIP	4	L	9.8	3.25	13	13PCW	5	149.HIP.L.CEL	13_ Age <16 PCW	Early mid-fetal	HIP			NA	NA		NA	Done	Done
HSB149.AMY	220	HSB149.AMY	HSB149	AMY	4	L	9.5	3.25	13	13PCW	5		13_ Age <16 PCW	Early mid-fetal	AMY			NA	NA		NA	Done	No (failed)
HSB149.STR	221	HSB149.STR	HSB149	STR	4	L	10	3.25	13	13PCW	5	149.STR.L.CEL	13_ Age <16 PCW	Early mid-fetal	STR			NA	NA		NA	Done	Done
HSB149.MD	222	HSB149.MD	HSB149	MD	4	L	9.7	3.25	13	13PCW	5	149.MD.L.CEL	13_ Age <16 PCW	Early mid-fetal	MD			NA	NA		NA	Done	Done
HSB149.CBC	223	HSB149.CBC	HSB149	CBC	4	L	9.5	3.25	13	13PCW	5	149.CBC.L.CEL	13_ Age <16 PCW	Early mid-fetal	CBC			NA	NA		NA	Done	Done
HSB114.DFC	240	HSB114.DFC	HSB114	DFC	4	L	9.6	3.25	13	13PCW	5	114.DFC.L.CEL	13_ Age <16 PCW	Early mid-fetal	DFC			NA	NA		NA	Done	Done
HSB114.VFC	241	HSB114.VFC	HSB114	VFC	4	L	9.6	3.25	13	13PCW	5	114.VFC.L.CEL	13_ Age <16 PCW	Early mid-fetal	VFC			NA	NA		NA	Done	Done
HSB114.MFC	242	HSB114.MFC	HSB114	MFC	4	L	9.8	3.25	13	13PCW	5	114.MFC.L.CEL	13_ Age <16 PCW	Early mid-fetal	MFC			NA	NA		NA	Done	Done
HSB114.OFC	243	HSB114.OFC	HSB114	OFC	4	L	9.4	3.25	13	13PCW	5	114.OFC.L.CEL	13_ Age <16 PCW	Early mid-fetal	OFC			NA	NA		NA	Done	Done
HSB114.M1C	244	HSB114.M1C	HSB114	M1C	4	L	9.7	3.25	13	13PCW	5	114.M1C.L.CEL	13_ Age <16 PCW	Early mid-fetal	M1C			NA	NA		NA	Done	Done
HSB114.S1C	245	HSB114.S1C	HSB114	S1C	4	L	9.7	3.25	13	13PCW	5	114.S1C.L.CEL	13_ Age <16 PCW	Early mid-fetal	S1C			NA	NA		NA	Done	Done
HSB114.IPC	246	HSB114.IPC	HSB114	IPC	4	L	9.8	3.25	13	13PCW	5	114.IPC.L.CEL	13_ Age <16 PCW	Early mid-fetal	IPC			NA	NA		NA	Done	Done
HSB114.A1C	247	HSB114.A1C	HSB114	A1C	4	L	9.6	3.25	13	13PCW	5	114.A1C.L.CEL	13_ Age <16 PCW	Early mid-fetal	A1C			NA	NA		NA	Done	Done
HSB114.STC	248	HSB114.STC	HSB114	STC	4	L	9.5	3.25	13	13PCW	5	114.STC.L.CEL	13_ Age <16 PCW	Early mid-fetal	STC			NA	NA		NA	Done	Done
HSB114.ITC	249	HSB114.ITC	HSB114	ITC	4	L	9.7	3.25	13	13PCW	5	114.ITC.L.CEL	13_ Age <16 PCW	Early mid-fetal	ITC			NA	NA		NA	Done	Done
HSB114.V1C	250	HSB114.V1C	HSB114	V1C	4	L	9.9	3.25	13	13PCW	5		13_ Age <16 PCW	Early mid-fetal	V1C			NA	NA		NA	Done	No (failed)
HSB114.HIP	251	HSB114.HIP	HSB114	HIP	4	L	8.9	3.25	13	13PCW	5	114.HIP.L.CEL	13_ Age <16 PCW	Early mid-fetal	HIP			NA	NA		NA	Done	Done
HSB114.AMY	252	HSB114.AMY	HSB114	AMY	4	L	10	3.25	13	13PCW	5	114.AMY.L.CEL	13_ Age <16 PCW	Early mid-fetal	AMY			NA	NA		NA	Done	Done
HSB114.STR	253	HSB114.STR	HSB114	STR	4	L	9.7	3.25	13	13PCW	3	114.STR.L.CEL	13_ Age <16 PCW	Early mid-fetal	STR			NA	NA		NA	Done	Done
HSB178.DFC	267	HSB178.DFC	HSB178	DFC	5	L	10	4	16	16PCW	5	178.DFC.L.CEL	16_ Age <19 PCW	Early mid-fetal	DFC			NA	NA		NA	Done	Done
HSB178.VFC	268	HSB178.VFC	HSB178	VFC	5	L	9.7	4	16	16PCW	4	178.VFC.L.CEL	16_ Age <19 PCW	Early mid-fetal	VFC			NA	NA		NA	Done	Done
HSB178.MFC	269	HSB178.MFC	HSB178	MFC	5	L	9.9	4	16	16PCW	4	178.MFC.L.CEL	16_ Age <19 PCW	Early mid-fetal	MFC			NA	NA		NA	Done	Done
HSB178.OFC	270	HSB178.OFC	HSB178	OFC	5	L	9.9	4	16	16PCW	4	178.OFC.L.CEL	16_ Age <19 PCW	Early mid-fetal	OFC			NA	NA		NA	Done	Done
HSB178.M1C	271	HSB178.M1C	HSB178	M1C	5	L	9.7	4	16	16PCW	5	178.M1C.L.CEL	16_ Age <19 PCW	Early mid-fetal	M1C			NA	NA		NA	Done	Done
HSB178.S1C	272	HSB178.S1C	HSB178	S1C	5	L	9.7	4	16	16PCW	4	178.S1C.L.CEL	16_ Age <19 PCW	Early mid-fetal	S1C			NA	NA		NA	Done	Done
HSB178.IPC	273	HSB178.IPC	HSB178	IPC	5	L	9.6	4	16	16PCW	5	178.IPC.L.CEL	16_ Age <19 PCW	Early mid-fetal	IPC			NA	NA		NA	Done	Done
HSB178.A1C	274	HSB178.A1C	HSB178	A1C	5	L	9.8	4	16	16PCW	4		16_ Age <19 PCW	Early mid-fetal	A1C			NA	NA		NA	Done	No (failed)
HSB178.STC	275	HSB178.STC	HSB178	STC	5	L	9.4	4	16	16PCW	4	178.STC.L.CEL	16_ Age <19 PCW	Early mid-fetal	STC			NA	NA		NA	Done	Done
HSB178.ITC	276	HSB178.ITC	HSB178	ITC	5	L	9.8	4	16	16PCW	5	178.ITC.L.CEL	16_ Age <19 PCW	Early mid-fetal	ITC			NA	NA		NA	Done	Done
HSB178.V1C	277	HSB178.V1C	HSB178	V1C	5	L	9.9	4	16	16PCW	5	178.V1C.L.CEL	16_ Age <19 PCW	Early mid-fetal	V1C			NA	NA		NA	Done	Done
HSB178.HIP	278	HSB178.HIP	HSB178	HIP	5	L	9.9	4	16	16PCW	5	178.HIP.L.CEL	16_ Age <19 PCW	Early mid-fetal	HIP			NA	NA		NA	Done	Done
HSB178.AMY	279	HSB178.AMY	HSB178	AMY	5	L	9.8	4	16	16PCW	4	178.AMY.L.CEL	16_ Age <19 PCW	Early mid-fetal	AMY			NA	NA		NA	Done	Done
HSB178.STR	280	HSB178.STR	HSB178	STR	5	L	10	4	16	16PCW	3	178.STR.L.CEL	16_ Age <19 PCW	Early mid-fetal	STR			NA	NA		NA	Done	Done
HSB178.MD	281	HSB178.MD	HSB178	MD	5	L	10	4	16	16PCW	4	178.MD.L.CEL	16_ Age <19 PCW	Early mid-fetal	MD			NA	NA		NA	Done	Done
HSB178.CBC	282	HSB178.CBC	HSB178	CBC	5	L	9.5	4	16	16PCW	5		16_ Age <19 PCW	Early mid-fetal	CBC			NA	NA		NA	Done	No (failed)
HSB154.DFC	298	HSB154.DFC	HSB154	DFC	5	R	10	4	16	16PCW	5	154.DFC.R.CEL	16_ Age <19 PCW	Early mid-fetal	DFC			NA	NA		NA	Done	Done
